flow,hs4,hs6,hs_full,category,hs6_rule,status,ippi_napcs,hs6_desc,hs_full_desc,note
imports,8504,850490,8504909082,Raw Materials,whole,keep,38122,"Parts of electrical transformers, static converters and inductors","Parts, of electric transformers, having a power handling capacity >= 500 kVA",
imports,8504,850490,8504909090,Raw Materials,whole,keep,38122,"Parts of electrical transformers, static converters and inductors","Parts, of electrical transformers, static converters and inductors, nes",
imports,8532,853210,8532100000,"Substation reactive-power equipment (shunt reactors, capacitor banks, SVC/STATCOM)",whole,keep,38125,Fixed capacitors dsnd for use in 50/60 Hz circuits & reactive power>=0.5 kvar,Fixed capacitors dsnd for use in 50/60 Hz circuits & reactive power>=0.5 kvar,
imports,8532,853229,8532290000,"Substation reactive-power equipment (shunt reactors, capacitor banks, SVC/STATCOM)",whole,exclude,38125,"Electrical capacitors, fixed, nes","Electrical capacitors, fixed, nes","Fixed capacitors, nes — electronic capacitors, not power-factor/grid reactive."
imports,8532,853230,8532300000,"Substation reactive-power equipment (shunt reactors, capacitor banks, SVC/STATCOM)",whole,exclude,38125,"Electrical capacitors, variable or adjustable (pre-set)","Electrical capacitors, variable or adjustable (pre-set)",Variable/adjustable capacitors — electronic trimmer capacitors.
imports,8532,853290,8532900000,"Substation reactive-power equipment (shunt reactors, capacitor banks, SVC/STATCOM)",whole,exclude,38125,Parts of electrical capacitors,Parts of electrical capacitors,"Parts of capacitors — component parts, not installed grid equipment."
imports,8535,853510,8535100010,High-Voltage Switchgear,whole,keep,38123,"Electrical fuses, for a voltage exceeding 1,000 volts","Electrical fuse,for swchg/protect/conn circuits,w vltge >1000V,f mining/oil,etc",
imports,8535,853510,8535100090,High-Voltage Switchgear,whole,keep,38123,"Electrical fuses, for a voltage exceeding 1,000 volts","O electrical fuse,for switching/protecting/connecting circuit,vltge > 1000V,nes",
imports,8535,853521,8535210000,Medium-Voltage Switchgear,whole,keep,38123,"Automatic circuit breakers, for a voltage exceeding 1,000 volts but < 72.5 kV","Automatic circuit breakers, for a voltage exceeding 1,000 volts but < 72.5 kV",
imports,8535,853529,8535290000,High-Voltage Switchgear,whole,keep,38123,"Automatic circuit breakers, for a voltage exceeding 1,000 volts, nes","Automatic circuit breakers, for a voltage exceeding 1000 volts, nes",
imports,8535,853530,8535300010,Disconnect Switches (HV/MV),whole,keep,38123,"Isolating switches and make-and-break switches, voltage > 1,000 volts","Knife isolating switches and make-and-break switches, voltage > 1000 V",
imports,8535,853530,8535300090,Disconnect Switches (HV/MV),whole,keep,38123,"Isolating switches and make-and-break switches, voltage > 1,000 volts","Switch isolating and make-and-break switch, o/t knife, voltage > 1000 V, nes",
imports,8535,853540,8535400000,High-Voltage Switchgear,whole,keep,38123,"Lightning arresters, voltage limiters and surge suppressors, > 1,000 V","Lightning arresters, voltage limiters and surge suppressors,voltage > 1000 V",
imports,8535,853590,8535901000,High-Voltage Switchgear,whole,keep,38123,"Electrical apparatus for switching or protec elec circuits, > 1,000 volts, nes","Electrical app for switch/protect elec crt,vltg>1000V, flmpf for mines,etc,nes",
imports,8535,853590,8535902000,High-Voltage Switchgear,whole,keep,38123,"Electrical apparatus for switching or protec elec circuits, > 1,000 volts, nes","Recept met box,ind cntl switch,& junction box/flmpf cable conn dev,>1000 V,nes",
imports,8535,853590,8535903000,High-Voltage Switchgear,whole,exclude,38123,"Electrical apparatus for switching or protec elec circuits, > 1,000 volts, nes","Motors starters and motor overload protectors, voltage exceeding 1000 volts","Motor starters/overload protectors — serve motor loads (behind-meter industrial), not grid switching."
imports,8535,853590,8535909010,High-Voltage Switchgear,whole,keep,38123,"Electrical apparatus for switching or protec elec circuits, > 1,000 volts, nes","Terminals,elec splices & elec couplings,f swchg/protec elec circuit, >1000V,nes",
imports,8535,853590,8535909020,High-Voltage Switchgear,whole,keep,38123,"Electrical apparatus for switching or protec elec circuits, > 1,000 volts, nes","Other electrical connectors,for switching/protec elec circuit, vltge > 1000V,nes",
imports,8535,853590,8535909090,High-Voltage Switchgear,whole,keep,38123,"Electrical apparatus for switching or protec elec circuits, > 1,000 volts, nes","Electrical apparatus for switching/protecting elec circuit, voltage > 1000V, nes",
imports,8536,853610,8536100000,Medium-Voltage Switchgear,whole,keep,38123,"Electrical fuses, for a voltage not exceeding 1,000 volts","Electrical fuses, for a voltage not exceeding 1000 volts",
imports,8536,853620,8536200010,Medium-Voltage Switchgear,whole,keep,38123,"Automatic circuit breakers for a voltage not exceeding 1,000 volts","Automatic circuit breakers, with molded case, for a voltage <= 1,000 volts",
imports,8536,853620,8536200090,Medium-Voltage Switchgear,whole,keep,38123,"Automatic circuit breakers for a voltage not exceeding 1,000 volts","Automatic circuit breakers, for a voltage <= 1,000 volts, nes",
imports,8536,853630,8536301000,Medium-Voltage Switchgear,drop,exclude,38123,"Electrical app for protecting electric circuits, for a voltage <=1,000 V, nes","Elec overload app, protec elec circuit, used mfr air conditioning mach,<=1000 V",Overload apparatus for air-conditioning machinery — appliance protection.
imports,8536,853630,8536302000,Medium-Voltage Switchgear,drop,exclude,38123,"Electrical app for protecting electric circuits, for a voltage <=1,000 V, nes","Motor protectors, elec overload app, protec elec circuits voltage <= 1000 volts",Motor protectors — motor protection (behind-meter loads).
imports,8536,853630,8536309010,Medium-Voltage Switchgear,drop,exclude,38123,"Electrical app for protecting electric circuits, for a voltage <=1,000 V, nes","Electrical overload app, for protecting electric circuits,voltage <= 1000 V,nes",Overload protective apparatus — motor/equipment overload protection.
imports,8536,853630,8536309090,Medium-Voltage Switchgear,drop,exclude,38123,"Electrical app for protecting electric circuits, for a voltage <=1,000 V, nes","Electrical apparatus for protecting electrical circuits, voltage <= 1000 V, nes","Circuit-protecting apparatus, nes ≤1 kV — predominantly equipment/building protection."
imports,8536,853641,8536410011,Protection & Control panels,drop,exclude,38123,Electrical relays for a voltage not exceeding 60 volts,"Electro-mechanical relays, with contacts rated < 10 A, for a voltage <= 60 V","Electro-mechanical relays <10 A, ≤60 V — small control relays."
imports,8536,853641,8536410019,Protection & Control panels,drop,exclude,38123,Electrical relays for a voltage not exceeding 60 volts,"Electric relays,with contacts rated <10A,voltage <=60V,o/t electro-mechanical,nes  Relais électriques,contacts évalués <10A,voltage <=60V,a/q électromécaniques,nda","Relays <10 A, ≤60 V — small low-voltage relays."
imports,8536,853641,8536410020,Protection & Control panels,drop,exclude,38123,Electrical relays for a voltage not exceeding 60 volts,"Automotive signalling flashers, voltage <= 60 V",Automotive signalling flashers — automotive components.
imports,8536,853641,8536410091,Protection & Control panels,drop,exclude,38123,Electrical relays for a voltage not exceeding 60 volts,"Electric relay contactors, with contacts >= 10 A, voltage <= 60 V, nes",Relay contactors ≤60 V — low-voltage control.
imports,8536,853641,8536410092,Protection & Control panels,drop,exclude,38123,Electrical relays for a voltage not exceeding 60 volts,"Electro-mechanical relays, with contacts >= 10 A, voltage <= 60 V, nes",Electro-mechanical relays ≤60 V — low-voltage control.
imports,8536,853641,8536410099,Protection & Control panels,drop,exclude,38123,Electrical relays for a voltage not exceeding 60 volts,"Electric relays,o/t contactors/electro-mechanical,with contact >= 10A,<= 60V,nes","Relays ≥10 A, ≤60 V, nes — low-voltage control relays (electronic/equipment)."
imports,8536,853649,8536490010,Protection & Control panels,whole,exclude,38123,"Electrical relays for a voltage > 60 V but not exceeding 1,000 volts","Electro-mechanical relays,with contacts rated < 10A,vltge > 60 but <= 1000V,nes",Electro-mechanical relays <10 A — small control relays.
imports,8536,853649,8536490020,Protection & Control panels,whole,exclude,38123,"Electrical relays for a voltage > 60 V but not exceeding 1,000 volts","Electrical relays,cntc rated <10A,vltge >60 <=1000V,o/t electro-mechanical,nes","Relays <10 A, nes — small control relays."
imports,8536,853649,8536490030,Protection & Control panels,whole,exclude,38123,"Electrical relays for a voltage > 60 V but not exceeding 1,000 volts","Electrical relay contactors, voltage > 60 but <= 1000 volts, nes",Relay contactors — motor/industrial control.
imports,8536,853649,8536490040,Protection & Control panels,whole,exclude,38123,"Electrical relays for a voltage > 60 V but not exceeding 1,000 volts","Other electro-mechanical relays, voltage > 60 but <= 1000 volts, nes","Electro-mechanical relays, nes — general equipment control relays."
imports,8536,853649,8536490090,Protection & Control panels,whole,uncertain,38123,"Electrical relays for a voltage > 60 V but not exceeding 1,000 volts","Other electrical relays, voltage > 60 but <= 1000 volts, nes","Electrical relays >60 ≤1,000 V, nes — includes grid protection relays and industrial control relays; cannot separate."
imports,8536,853650,8536501000,Medium-Voltage Switchgear,drop,exclude,38123,"Electrical switches for a voltage not exceeding 1,000 volts, nes","Motor starter switches, voltage <= 1000 V",Motor starter switches — motor control (behind-meter loads).
